Designator,Footprint,Quantity,Value,LCSC Part #
C1,Nondescript_C_0603_1608Metric,1,10u,C344022
"C10, C7, C8, C9",0603,4,10u,C19702
"C2, C3, C4, C5, C6",Nondescript_C_0402_1005Metric,5,100n,C2649549
D1,0603,1,Blue LED,C72041
"JP1, JP10, JP2, JP3, JP4, JP5, JP6, JP9",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,8,SolderJumper_2_Open,
"JP11, JP12, JP7, JP8",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,4,SolderJumper_2_Bridged,
"R1, R2",0402,2,1k5,C25867
"R10, R11, R12, R4, R5, R6, R7, R9",0402,8,60,
R13,Nondescript_R_0402_1005Metric,1,715k,C270585
R3,Nondescript_R_0402_1005Metric,1,2.21k,C305298
R8,Nondescript_R_0402_1005Metric,1,301k,C25775
"U1, U2",Bosch_LGA-14_3x2.5mm_P0.5mm,2,BMI323,C5368700
"U3, U5",SOT-23-8,2,TCAN330,C2877587
U4,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias,1,STM32L452CEU6,C222355
